"hour","total_departures","total_arrivals","total_turnover","departures_ebike","arrivals_ebike","departures_mbike","arrivals_mbike","departures_hbike","arrivals_hbike","departures_escooter","arrivals_escooter","turnover_ebike","turnover_mbike","turnover_hbike","turnover_escooter","stations_moving","mean_observations","stations_empty","stations_at_nominal_capacity","mean_fill_rate","temp_c","tre200hn","tre200hx","tre005h0","tre005hn","humidity_pct","pva200h0","tde200h0","pressure_hpa","pp0qffh0","pp0qnhh0","ppz700h0","ppz850h0","wind_gust_ms","dkl010h0","wind_speed_ms","fu3010h0","fu3010h1","fkl010h3","fu3010h3","wcc006h0","fve010h0","precip_mm","htoauths","radiation_wm2","oli000h0","olo000h0","osr000h0","ods000h0","sunshine_min","erefaoh0","tso005hs","tso010hs","tso020hs","hour_of_day","day_of_week","is_weekend","is_raining"
2026-08-24 12:00:00,36,17,53,33,18,6,2,0,0,0,0,51,8,0,0,43,1,8,1,0.110128676470588,22.4,21.3,23.3,27.7,24.9,54.6,14.7,12.8,952.6,1014.9,1017.7,NA,NA,5.9,32,2.8,10.1,21.2,5.8,20.9,NA,NA,0,0,612,374,NA,NA,NA,24,0.433,20.8,20.2,19.9,12,"Monday",FALSE,FALSE
2026-08-24 13:00:00,103,112,215,94,91,18,30,0,0,0,0,185,48,0,0,116,1,9,2,0.109319852941176,22.8,22.5,23.1,26,25,53.9,15,13,952.1,1014.2,1017.1,NA,NA,5.3,17,2.9,10.4,19.1,5.3,19.1,NA,NA,0,0,359,388,NA,NA,NA,0,0.3,21.2,20.6,20,13,"Monday",FALSE,FALSE
2026-08-24 17:00:00,196,316,512,178,268,44,74,0,0,0,0,446,118,0,0,166,1,18,0,0.106194852941176,24.4,23.8,24.9,26.3,23.9,52.6,16.1,14.1,948,1009.5,1012.8,NA,NA,9.8,23,5,18,35.3,9.6,34.6,NA,NA,0,0,250,359,NA,NA,NA,55,0.252,21.8,21.5,20.7,17,"Monday",FALSE,FALSE
2026-08-24 18:00:00,120,149,269,111,135,17,22,0,0,0,0,246,39,0,0,138,2,18,0,0.111378676470588,22.6,20,23.6,22.2,17.6,60.1,16.3,14.3,947.8,1009.7,1012.6,NA,NA,8.8,30,4.6,16.6,31.7,8.7,31.3,NA,NA,0.4,0,92,383,NA,NA,NA,27,0.128,21.4,21.4,20.8,18,"Monday",FALSE,TRUE
2026-08-24 19:00:00,72,105,177,69,101,9,10,0,0,0,0,170,19,0,0,112,3,17,0,0.113318014705882,19.4,18.7,20,17.1,16.7,77.8,17.6,15.4,947.5,1010.1,1012.3,NA,NA,8,43,2.5,9,28.8,7.7,27.7,NA,NA,0,0,3,365,NA,NA,NA,0,0.023,21,21.2,20.9,19,"Monday",FALSE,FALSE
2026-08-24 20:00:00,62,71,133,55,63,9,10,0,0,0,0,118,19,0,0,90,3,17,0,0.11390625,18.9,18,20.1,17,16.5,79.2,17.2,15.1,947.9,1010.7,1012.7,NA,NA,7.3,50,2.6,9.4,26.3,7.3,26.3,NA,NA,2,0,0,390,NA,NA,NA,0,0.021,20.6,21,20.9,20,"Monday",FALSE,TRUE
2026-08-24 21:00:00,29,34,63,27,32,2,2,0,0,0,0,59,4,0,0,60,4,20,0,0.114411764705882,17.8,17.3,18.3,16.5,16.3,89.1,18.2,16,947.4,1010.4,1012.2,NA,NA,5.3,29,1.7,6.1,19.1,5.3,19.1,NA,NA,0.5,0,0,379,NA,NA,NA,0,0.007,20.2,20.8,20.9,21,"Monday",FALSE,TRUE
2026-08-24 22:00:00,38,30,68,31,26,9,6,0,0,0,0,57,15,0,0,56,4,20,0,0.114080882352941,17.6,17.3,17.9,16.4,16.1,88.7,17.9,15.7,947.1,1010.1,1011.9,NA,NA,6.4,353,2.3,8.3,23,6.3,22.7,NA,NA,0.2,0,0,382,NA,NA,NA,0,0.01,20,20.6,20.8,22,"Monday",FALSE,TRUE
2026-08-24 23:00:00,11,17,28,9,12,4,7,0,0,0,0,21,11,0,0,25,4,19,0,0.114448529411765,17.1,16.9,17.3,15.9,15.8,90.2,17.6,15.5,947.2,1010.3,1012,NA,NA,3.3,45,1.4,5,11.9,3.3,11.9,NA,NA,0,0,0,374,NA,NA,NA,0,0.005,19.9,20.5,20.8,23,"Monday",FALSE,FALSE
2026-08-25,2,4,6,2,4,0,0,0,0,0,0,6,0,0,0,6,2,18,0,0.114613970588235,17,16.7,17.4,16,15.8,90.9,17.6,15.5,947.1,1010.2,1011.9,NA,NA,3.4,307,1,3.6,12.2,3.3,11.9,NA,NA,0,0,0,376,NA,NA,NA,0,0.003,19.8,20.4,20.7,0,"Tuesday",FALSE,FALSE
